"","X","Country","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Population","Continent","Case.Fatality.rate","GDP","GDP.for.health.expenditure","Population.1","CO2.emission.per.capita","Life.Expectancy","Govhealthexp"
"1",58,50,"Afghanistan",7653,581,178,5,850,6625,19,197,5,24697,636,38817349,NA,2.32588527374886,"509,759","11,777",37172386,0.294,65,NA
"2",112,104,"Albania",949,1,31,NA,742,176,1,330,11,12369,4298,2878155,NA,3.26659641728135,"5847,056",NA,2866376,1.979,77.8,NA
"3",60,52,"Algeria",7201,NA,555,NA,3625,3021,22,165,13,6500,149,43752773,NA,7.70726288015553,"4039,101","6,374",42228429,3.736,75.6,"975"
"4",121,113,"Andorra",761,NA,51,NA,624,86,3,9851,660,3750,48543,77251,NA,6.70170827858081,NA,"10,321",77006,5.833,NA,"5 237"
"5",183,175,"Angola",50,NA,3,NA,17,30,NA,2,0.09,6136,187,32731783,NA,6,"2867,517","2,792",30809762,1.29,52.4,"186"
"6",220,212,"Anguilla",3,NA,0,NA,3,0,NA,200,NA,NA,NA,14987,NA,0,NA,NA,NA,NA,NA,NA
"7",190,182,"Antigua and Barbuda",25,NA,3,NA,19,3,1,256,31,183,1871,97833,NA,12,"18887,448","4,534",96286,5.744,76.4,"1 071"
"8",56,48,"Argentina",8371,NA,382,NA,2625,5364,154,185,8,105829,2344,45146322,NA,4.56337355154701,"9730,908","9,124",44494502,4.782,76.3,"1 917"
"9",70,62,"Armenia",5041,218,64,3,2164,2813,10,1702,22,43041,14528,2962604,NA,1.26958936718905,"4759,206","10,363",2951776,1.899,74.8,"1 001"
"10",171,163,"Aruba",101,NA,3,NA,93,5,4,946,28,2021,18939,106713,NA,2.97029702970297,"26469,446",NA,105845,8.410064178,NA,NA
"11",61,53,"Australia",7068,8,100,1,6413,555,11,278,4,1085870,42643,25464216,NA,1.41482739105829,"52952,268","9,206",24982688,15.389,82.8,"4 816"
"12",45,37,"Austria",16321,52,632,3,14678,1011,39,1813,70,372435,41380,9000366,NA,3.87231174560382,"51330,462","10,397",8840521,6.87,81.5,"5 617"
"13",76,68,"Azerbaijan",3387,NA,40,NA,2055,1292,37,334,4,235910,23292,10128288,NA,1.18098612341305,"4718,93","6,652",9939800,3.932,72.7,"1 164"
"14",173,165,"Bahamas",96,NA,11,NA,43,42,1,244,28,1826,4649,392795,NA,11.4583333333333,"33286,021","5,759",385640,6.52,76.1,"1 756"
"15",59,51,"Bahrain",7374,190,12,NA,2952,4410,9,4354,7,248205,146549,1693667,NA,0.16273393002441,"25507,487","4,748",1569439,23.455,76.9,"2 265"
"16",35,27,"Bangladesh",25121,1251,370,21,4993,19758,1,153,2,193645,1177,164493041,NA,1.47287130289399,"2067,542","2,274",161356039,0.474,71.8,"94"
"17",175,167,"Barbados",88,NA,7,NA,68,13,4,306,24,4004,13935,287335,NA,7.95454545454545,"18486,766","6,779",286641,4.467,75.5,"1 343"
"18",30,22,"Belarus",31508,936,175,4,10620,20713,92,3334,19,375076,39692,9449678,NA,0.555414497905294,"6744,238","5,926",9483499,6.702,72.3,"1 129"
"19",23,15,"Belgium",55791,232,9108,28,14687,31996,345,4816,786,709818,61277,11583739,NA,16.3252137441523,"45979,691","10,339",11433256,8.328,81.1,"5 119"
"20",197,189,"Belize",18,NA,2,NA,16,0,NA,45,5,1043,2629,396732,NA,11.1111111111111,"4978,34","5,643",383071,1.401,71,"481"
"21",142,134,"Benin",339,NA,2,NA,83,254,NA,28,0.2,25471,2108,12082333,NA,0.589970501474926,"1274,28","3,719",11485048,0.614,60,"85"
"22",167,159,"Bermuda",125,NA,9,NA,77,39,2,2006,144,5549,89063,62304,NA,7.2,NA,NA,63973,8.838,NA,NA
"23",195,187,"Bhutan",21,NA,0,NA,5,16,NA,27,NA,14223,18457,770586,NA,0,"3533,204","3,187",754394,1.392,69.8,"290"
"24",71,63,"Bolivia",4263,175,174,5,503,3586,3,366,15,14803,1270,11653648,NA,4.08163265306122,"3860,622","6,443",11353142,1.906,77,"492"
"25",84,76,"Bosnia and Herzegovina",2321,17,134,1,1522,665,4,707,41,53988,16444,3283087,NA,5.77337354588539,"6009,572","8,932",3323929,6.385,77.4,"1 172"
"26",191,183,"Botswana",25,NA,1,NA,17,7,NA,11,0.4,13294,5667,2345678,NA,4,"8116,17","6,135",2254126,3.367,65.7,"1 044"
"27",12,4,"Brazil",255368,NA,16853,NA,100459,138056,8318,1202,79,735224,3462,212380932,NA,6.59949562983616,"8955,65","9,467",209469333,2.613,75,"1 472"
"28",215,207,"British Virgin Islands",8,NA,1,NA,6,1,NA,265,33,167,5529,30207,NA,12.5,NA,NA,29802,6.198,NA,NA
"29",164,156,"Brunei",141,NA,1,NA,136,4,2,323,2,17636,40359,436979,NA,0.709219858156028,"28396,711","2,373",428962,22.229,77.7,"1 875"
"30",85,77,"Bulgaria",2259,24,112,2,646,1501,36,325,16,66810,9607,6954222,NA,4.95794599380257,"10133,072","8,096",7025037,5.872,74.5,"1 690"
"31",118,110,"Burkina Faso",796,NA,51,NA,652,93,NA,38,2,NA,NA,20829100,NA,6.4070351758794,"757,613","6,915",19751535,0.162,59.9,"129"
"32",186,178,"Burundi",42,NA,1,NA,20,21,NA,4,0.08,284,24,11844472,NA,2.38095238095238,"312,732","7,518",11175378,0.045,59.6,"59"
"33",146,138,"Cabo Verde",328,NA,3,NA,85,240,NA,591,5,892,1606,555261,NA,0.914634146341463,"3808,145",NA,543767,0.948,73.3,"357"
"34",169,161,"Cambodia",122,NA,0,NA,122,0,NA,7,NA,15447,925,16690788,NA,0,"1730,884","5,919",16249798,0.438,68.7,"238"
"35",75,67,"Cameroon",3529,NA,140,NA,1567,1822,28,133,5,NA,NA,26461313,NA,3.96712949844148,"1553,753","4,671",25216237,0.309,57.3,"174"
"36",21,13,"Canada",78072,NA,5842,NA,39228,33002,502,2071,155,1323371,35100,37702769,NA,7.48283635618403,"47931,46","10,573",37057765,15.159,82.2,"4 929"
"37",147,139,"CAR",327,NA,0,NA,13,314,NA,68,NA,3498,726,4819377,NA,0,"471,938",NA,NA,NA,52.5,"42"
"38",217,209,"Caribbean Netherlands",6,NA,0,NA,6,0,NA,229,NA,357,13629,26194,NA,0,NA,NA,NA,NA,NA,NA
"39",174,166,"Cayman Islands",94,NA,1,NA,55,38,NA,1432,15,5900,89899,65629,NA,1.06382978723404,NA,NA,64174,8.919,NA,NA
"40",133,125,"Chad",519,NA,53,NA,117,349,NA,32,3,NA,NA,16364523,NA,10.2119460500963,"909,686","4,487",15477751,0.053,53.1,"87"
"41",130,122,"Channel Islands",555,NA,43,NA,475,37,NA,3196,248,5342,30759,173672,NA,7.74774774774775,NA,NA,170499,NA,NA,NA
"42",25,17,"Chile",46059,NA,478,NA,20165,25416,807,2412,25,381011,19952,19096687,NA,1.03779934431924,"15854,652","8,984",18729160,4.649,85,"2 229"
"43",47,39,"Colombia",16295,NA,592,NA,3903,11800,136,321,12,201808,3971,50817787,NA,3.63301626265726,"6744,007","7,226",49648685,1.79,74.8,"1 039"
"44",209,201,"Comoros",11,NA,1,NA,3,7,NA,13,1,NA,NA,867268,NA,9.09090909090909,"1392,938","7,384",832322,0.203,63.5,"123"
"45",138,130,"Congo",412,NA,15,NA,110,287,NA,75,3,NA,NA,5500730,NA,3.64077669902913,"2464,874","2,930",5244363,0.653,64.7,"165"
"46",117,109,"Costa Rica",866,NA,10,NA,575,281,3,170,2,20352,4000,5088572,NA,1.15473441108545,"12690,589","7,329",4999441,1.618,79.6,"1 262"
"47",86,78,"Croatia",2232,4,96,1,1967,169,10,543,23,55800,13583,4108081,NA,4.3010752688172,"15645,775","6,789",4087843,3.974,78,"1 772"
"48",89,81,"Cuba",1881,NA,79,NA,1505,297,9,166,7,83868,7404,11327404,NA,4.19989367357788,NA,"11,711",11338138,3.081,79.1,"2 486"
"49",202,194,"Curaçao",16,NA,1,NA,14,1,NA,98,6,389,2372,164015,NA,6.25,NA,NA,NA,NA,NA,NA
"50",113,105,"Cyprus",917,NA,17,NA,515,385,10,760,14,87549,72575,1206320,NA,1.85387131952017,"28626,567","6,685",1189265,5.26,85,"2 430"
"51",55,47,"Czechia",8594,8,299,2,5641,2654,33,803,28,356515,33298,10706690,NA,3.47917151501047,"24569,058","7,231",10629928,9.166,78.8,"2 753"
"52",52,44,"Denmark",11044,76,551,3,9416,1077,25,1907,95,475096,82057,5789832,NA,4.98913437160449,"61732,569","10,108",5793636,5.936,86,"5 510"
"53",124,116,"Diamond Princess",712,NA,13,NA,651,48,4,NA,NA,NA,NA,NA,NA,1.82584269662921,NA,NA,NA,NA,NA,NA
"54",96,88,"Djibouti",1518,NA,7,NA,1018,493,NA,1539,7,18345,18601,986245,NA,0.461133069828722,"3088,165","3,317",958920,0.804,63.5,"117"
"55",203,195,"Dominica",16,NA,0,NA,16,0,NA,222,NA,433,6017,71965,NA,0,"8948,648","5,877",71625,1.909,NA,"657"
"56",50,42,"Dominican Republic",12725,NA,434,NA,6613,5678,127,1174,40,50108,4625,10834889,NA,3.41060903732809,"9194,687","6,136",10627165,2.119,73.9,"986"
"57",95,87,"DRC",1538,NA,61,NA,272,1205,NA,17,0.7,NA,NA,89204344,NA,3.96618985695709,"511,604","3,979",84068091,0.063,59.8,"37"
"58",29,21,"Ecuador",33582,NA,2799,NA,3433,27350,186,1907,159,96536,5482,17610231,NA,8.3348222261926,"6250,124","8,257",17084357,2.753,76.2,"959"
"59",49,41,"Egypt",12764,NA,645,NA,3440,8679,41,125,6,135000,1322,102094004,NA,5.05327483547477,"3478,113","5,288",98423595,2.233,79,"614"
"60",98,90,"El Salvador",1498,85,30,NA,502,966,27,231,5,60341,9308,6482375,NA,2.00267022696929,"4126,151","7,228",6420744,0.998,73.5,"583"
"61",123,115,"Equatorial Guinea",719,NA,7,NA,22,690,NA,515,5,854,611,1396874,NA,0.973574408901252,"8273,827","3,107",1308974,4.764,58.2,"759"
"62",188,180,"Eritrea",39,NA,0,NA,39,0,NA,11,NA,NA,NA,3540444,NA,0,"349,788","2,870",NA,NA,64.7,"59"
"63",92,84,"Estonia",1791,7,64,NA,938,789,4,1350,48,70188,52915,1326433,NA,3.57342266890006,"24802,77","6,429",1321977,14.849,77.6,"2 153"
"64",157,149,"Eswatini",205,NA,2,NA,78,125,NA,177,2,4160,3590,1158724,NA,0.975609756097561,"4244,991","6,930",1136191,1.098,NA,"600"
"65",141,133,"Ethiopia",365,13,5,NA,120,240,NA,3,0.04,62300,544,114599417,NA,1.36986301369863,"1066,199","3,503",109224559,0.118,64.8,"67"
"66",160,152,"Faeroe Islands",187,NA,0,NA,187,0,NA,3829,NA,8863,181466,48841,NA,0,NA,NA,NA,NA,NA,NA
"67",206,198,"Falkland Islands",13,NA,0,NA,13,0,NA,3750,NA,402,115950,3467,NA,0,NA,NA,NA,NA,NA,NA
"68",198,190,"Fiji",18,NA,0,NA,15,3,NA,20,NA,1300,1451,895677,NA,0,"6737,433","3,501",883483,1.35,69.9,"323"
"69",65,57,"Finland",6380,NA,300,NA,5000,1080,34,1152,54,149700,27023,5539729,NA,4.70219435736677,"50774,198","9,207",5515525,8.661,81.1,"4 255"
"70",15,7,"France",179927,NA,28239,NA,61728,89960,1998,2757,433,1384633,21218,65256826,NA,15.6946984054644,"42643,949","11,313",66977107,4.573,82.4,"5 011"
"71",156,148,"French Guiana",210,NA,1,NA,131,78,NA,705,3,NA,NA,297687,NA,0.476190476190476,NA,NA,NA,NA,NA,NA
"72",181,173,"French Polynesia",60,NA,0,NA,60,0,NA,214,NA,3496,12454,280717,NA,0,NA,NA,277679,2.956,NA,NA
"73",102,94,"Gabon",1432,NA,11,NA,301,1120,9,645,5,7966,3590,2219053,NA,0.768156424581006,"8361,041","2,781",2119275,2.756,66,"500"
"74",192,184,"Gambia",24,NA,1,NA,13,10,NA,10,0.4,1476,613,2407856,NA,4.16666666666667,"795,704","3,282",2280102,0.254,61.1,"56"
"75",125,117,"Georgia",702,1,12,NA,456,234,6,176,3,40711,10203,3990035,NA,1.70940170940171,"4626,405","7,602",3726549,2.416,74.4,"773"
"76",16,8,"Germany",177289,NA,8123,NA,155700,13466,1133,2117,97,3147771,37584,83752855,NA,4.58178454388033,"47992,322","11,247",82905782,8.889,81,"5 923"
"77",68,60,"Ghana",5918,183,31,2,1754,4133,5,191,1,180567,5826,30991423,NA,0.52382561676242,"2266,413","3,262",29767108,0.531,62.4,"147"
"78",162,154,"Gibraltar",147,NA,0,NA,145,2,NA,4363,NA,5187,153953,33692,NA,0,NA,NA,33718,15.657,NA,NA
"79",78,70,"Greece",2836,NA,165,NA,1374,1297,24,272,16,131684,12627,10428746,NA,5.81805359661495,"20845,315","8,041",10731726,6.18,81,"2 295"
"80",212,204,"Greenland",11,NA,0,NA,11,0,NA,194,NA,1721,30321,56759,NA,0,NA,NA,56025,8.989,NA,NA
"81",194,186,"Grenada",22,NA,0,NA,14,8,4,196,NA,2419,21509,112462,NA,0,"11848,121","4,757",111454,2.222,73.6,"721"
"82",161,153,"Guadeloupe",155,NA,13,NA,109,33,3,387,32,2866,7163,400116,NA,8.38709677419355,NA,NA,NA,NA,NA,NA
"83",88,80,"Guatemala",2001,89,38,3,139,1824,5,112,2,20820,1165,17874358,NA,1.89905047476262,"4807,546","5,814",17247807,1.151,71.9,"475"
"84",81,73,"Guinea",2796,NA,16,NA,1263,1517,18,214,1,10304,787,13086759,NA,0.572246065808298,"1030,708","4,123",12414318,0.22,59,"89"
"85",108,100,"Guinea-Bissau",1032,NA,4,NA,38,990,NA,526,2,1500,764,1962083,NA,0.387596899224806,"830,209","7,236",1874309,0.16,58.9,"123"
"86",168,160,"Guyana",124,NA,10,NA,45,69,3,158,13,1218,1549,786108,NA,8.06451612903226,"10249,383","4,946",779004,2.632,66.2,"405"
"87",131,123,"Haiti",533,NA,21,NA,21,491,NA,47,2,2120,186,11385726,NA,3.93996247654784,"765,413","8,036",11123176,0.271,63.5,"146"
"88",80,72,"Honduras",2798,152,146,4,340,2312,14,283,15,10775,1090,9885245,NA,5.21801286633309,"2593,926","7,858",9587522,1.058,74.6,"395"
"89",106,98,"Hong Kong",1056,NA,4,NA,1025,27,1,141,0.5,168291,22469,7489763,NA,0.378787878787879,"50460,39",NA,7451000,6.394,NA,NA
"90",73,65,"Hungary",3556,21,467,5,1412,1677,46,368,48,138697,14353,9663123,NA,13.132733408324,"18535,147","6,880",9775564,4.266,75.8,"1 979"
"91",91,83,"Iceland",1802,NA,10,NA,1786,6,NA,5285,29,56882,166818,340982,NA,0.554938956714761,"66601,877","8,326",352721,6.06,82.7,"4 721"
"92",19,11,"India",102231,1903,3169,13,39658,59404,NA,74,2,2404267,1744,1378381772,NA,3.0998425135233,"2338,115","3,535",1352617328,1.728,68.3,"253"
"93",40,32,"Indonesia",18496,486,1221,30,4467,12808,NA,68,4,202936,743,273176544,NA,6.60142733564014,"4464,572","2,989",267663435,1.819,69.1,"368"
"94",18,10,"Iran",124603,2111,7119,62,97173,20311,2698,1486,85,716176,8540,83862642,NA,5.7133455855798,"5503,083","8,660",81800269,8.384,75.5,"1 748"
"95",74,66,"Iraq",3554,NA,127,NA,2310,1117,NA,89,3,149701,3732,40108260,NA,3.57343837929094,"5799,425","4,167",38433600,4.895,68.9,NA
"96",37,29,"Ireland",24200,NA,1547,NA,19470,3183,54,4908,314,258808,52484,4931150,NA,6.39256198347107,"80264,835","7,184",4867309,7.314,81.4,"5 545"
"97",143,135,"Isle of Man",335,NA,24,NA,296,15,9,3942,282,4167,49035,84980,NA,7.16417910447761,NA,NA,84077,NA,NA,NA
"98",43,35,"Israel",16650,7,277,1,13299,3074,51,1927,32,512452,59319,8638917,NA,1.66366366366366,"44474,065","7,407",8882800,7.863,82.5,"3 015"
"99",14,6,"Italy",225886,NA,32007,NA,127326,66553,749,3735,529,3041366,50294,60471924,NA,14.1695368460197,"33431,25","8,840",60421760,5.271,82.7,"3 620"
"100",87,79,"Ivory Coast",2119,NA,28,NA,1040,1051,NA,81,1,18608,708,26294743,NA,1.32137800849457,"1793,699","4,453",NA,NA,53.3,"176"
"101",132,124,"Jamaica",520,NA,9,NA,131,380,NA,176,3,8674,2931,2959659,NA,1.73076923076923,"5698,628","5,988",2934855,2.581,76.2,"543"
"102",46,38,"Japan",16305,NA,749,NA,11564,3992,228,129,6,250151,1977,126520115,NA,4.59368291934989,"43043,422","10,936",126529100,9.539,83.7,"4 563"
"103",127,119,"Jordan",629,NA,9,NA,413,207,5,62,0.9,144356,14165,10191015,NA,1.4308426073132,"4541,55","8,119",9956011,2.965,74.1,"757"
"104",64,56,"Kazakhstan",6751,311,35,NA,3469,3247,31,360,2,553062,29497,18749587,NA,0.518441712338913,"9672,002","3,125",18272430,14.363,72,"820"
